model_name,iteration,accuracy
ensemble_model_0,17,0.9983
ensemble_model_0,15,0.9983
ensemble_model_0,10,0.9983
ensemble_model_0,3,0.9983
ensemble_model_0,19,0.9983
ensemble_model_0,5,0.9983
ensemble_model_0,4,0.9983
ensemble_model_0,2,0.9983
ensemble_model_0,9,0.9983
ensemble_model_0,1,0.9983
ensemble_model_0,13,0.9983
ensemble_model_0,18,0.9983
ensemble_model_0,11,0.9983
ensemble_model_0,8,0.9983
ensemble_model_0,16,0.9983
ensemble_model_0,6,0.9983
ensemble_model_0,12,0.9983
ensemble_model_0,7,0.9983
ensemble_model_0,20,0.9983
ensemble_model_0,14,0.9983
ensemble_model_1,17,0.998
ensemble_model_1,15,0.998
ensemble_model_1,3,0.998
ensemble_model_1,10,0.998
ensemble_model_1,4,0.998
ensemble_model_1,5,0.998
ensemble_model_1,19,0.998
ensemble_model_1,18,0.998
ensemble_model_1,2,0.998
ensemble_model_1,9,0.998
ensemble_model_1,1,0.998
ensemble_model_1,13,0.998
ensemble_model_1,11,0.998
ensemble_model_1,8,0.998
ensemble_model_1,20,0.998
ensemble_model_1,14,0.998
ensemble_model_1,12,0.998
ensemble_model_1,6,0.998
ensemble_model_1,16,0.998
ensemble_model_1,7,0.998
ensemble_model_2,15,0.9984
ensemble_model_2,3,0.9984
ensemble_model_2,10,0.9984
ensemble_model_2,17,0.9984
ensemble_model_2,18,0.9984
ensemble_model_2,5,0.9984
ensemble_model_2,4,0.9984
ensemble_model_2,19,0.9984
ensemble_model_2,13,0.9984
ensemble_model_2,11,0.9984
ensemble_model_2,1,0.9984
ensemble_model_2,12,0.9984
ensemble_model_2,2,0.9984
ensemble_model_2,9,0.9984
ensemble_model_2,20,0.9984
ensemble_model_2,8,0.9984
ensemble_model_2,6,0.9984
ensemble_model_3,15,0.9983
ensemble_model_2,14,0.9984
ensemble_model_3,10,0.9983
ensemble_model_2,7,0.9984
ensemble_model_2,16,0.9984
ensemble_model_3,3,0.9983
ensemble_model_3,18,0.9983
ensemble_model_3,5,0.9983
ensemble_model_3,17,0.9983
ensemble_model_3,11,0.9983
ensemble_model_3,13,0.9983
ensemble_model_3,4,0.9983
ensemble_model_3,19,0.9983
ensemble_model_4,15,0.9982
ensemble_model_3,1,0.9983
ensemble_model_3,12,0.9983
ensemble_model_3,2,0.9983
ensemble_model_3,20,0.9983
ensemble_model_4,10,0.9982
ensemble_model_3,9,0.9983
ensemble_model_3,7,0.9983
ensemble_model_3,14,0.9983
ensemble_model_3,6,0.9983
ensemble_model_4,3,0.9982
ensemble_model_3,8,0.9983
ensemble_model_3,16,0.9983
ensemble_model_4,5,0.9982
ensemble_model_4,18,0.9982
ensemble_model_4,17,0.9982
ensemble_model_4,4,0.9982
ensemble_model_4,11,0.9982
ensemble_model_4,13,0.9982
ensemble_model_5,10,0.998
ensemble_model_4,14,0.9982
ensemble_model_5,15,0.998
ensemble_model_4,7,0.9982
ensemble_model_4,19,0.9982
ensemble_model_5,3,0.998
ensemble_model_4,1,0.9982
ensemble_model_4,12,0.9982
ensemble_model_4,20,0.9982
ensemble_model_4,2,0.9982
ensemble_model_5,5,0.998
ensemble_model_4,9,0.9982
ensemble_model_5,18,0.998
ensemble_model_4,6,0.9982
ensemble_model_4,8,0.9982
ensemble_model_4,16,0.9982
ensemble_model_5,4,0.998
ensemble_model_5,11,0.998
ensemble_model_5,17,0.998
ensemble_model_5,13,0.998
ensemble_model_5,7,0.998
ensemble_model_6,10,0.9984
ensemble_model_6,15,0.9984
ensemble_model_6,5,0.9984
ensemble_model_5,14,0.998
ensemble_model_5,2,0.998
ensemble_model_5,1,0.998
ensemble_model_5,12,0.998
ensemble_model_5,19,0.998
ensemble_model_6,3,0.9984
ensemble_model_5,20,0.998
ensemble_model_6,18,0.9984
ensemble_model_5,9,0.998
ensemble_model_5,6,0.998
ensemble_model_5,8,0.998
ensemble_model_5,16,0.998
ensemble_model_6,4,0.9984
ensemble_model_6,13,0.9984
ensemble_model_6,11,0.9984
ensemble_model_7,10,0.9986
ensemble_model_6,17,0.9984
ensemble_model_7,15,0.9986
ensemble_model_6,7,0.9984
ensemble_model_6,2,0.9984
ensemble_model_6,1,0.9984
ensemble_model_6,12,0.9984
ensemble_model_7,5,0.9986
ensemble_model_7,3,0.9986
ensemble_model_6,14,0.9984
ensemble_model_6,20,0.9984
ensemble_model_6,19,0.9984
ensemble_model_7,18,0.9986
ensemble_model_6,9,0.9984
ensemble_model_6,6,0.9984
ensemble_model_7,13,0.9986
ensemble_model_6,8,0.9984
ensemble_model_6,16,0.9984
ensemble_model_7,11,0.9986
ensemble_model_8,15,0.9984
ensemble_model_7,4,0.9986
ensemble_model_8,10,0.9984
ensemble_model_7,7,0.9986
ensemble_model_7,17,0.9986
ensemble_model_7,1,0.9986
ensemble_model_7,2,0.9986
ensemble_model_7,14,0.9986
ensemble_model_7,20,0.9986
ensemble_model_7,12,0.9986
ensemble_model_8,5,0.9984
ensemble_model_8,3,0.9984
ensemble_model_7,19,0.9986
ensemble_model_7,6,0.9986
ensemble_model_7,9,0.9986
ensemble_model_8,11,0.9984
