model_name,iteration,accuracy
ensemble_model_0,6,0.1172360248447205
ensemble_model_0,9,0.1172360248447205
ensemble_model_0,5,0.1172360248447205
ensemble_model_0,8,0.1172360248447205
ensemble_model_0,3,0.1172360248447205
ensemble_model_0,11,0.1172360248447205
ensemble_model_0,12,0.1172360248447205
ensemble_model_0,20,0.1172360248447205
ensemble_model_0,4,0.1172360248447205
ensemble_model_0,14,0.1172360248447205
ensemble_model_0,7,0.1172360248447205
ensemble_model_0,18,0.1172360248447205
ensemble_model_0,1,0.1172360248447205
ensemble_model_0,15,0.1172360248447205
ensemble_model_0,13,0.1172360248447205
ensemble_model_0,10,0.1172360248447205
ensemble_model_0,16,0.1172360248447205
ensemble_model_0,17,0.1172360248447205
ensemble_model_0,19,0.1172360248447205
ensemble_model_0,2,0.1172360248447205
ensemble_model_1,9,0.2670807453416149
ensemble_model_1,6,0.2670807453416149
ensemble_model_1,5,0.2670807453416149
ensemble_model_1,3,0.2670807453416149
ensemble_model_1,4,0.2670807453416149
ensemble_model_1,8,0.2670807453416149
ensemble_model_1,11,0.2670807453416149
ensemble_model_1,7,0.2670807453416149
ensemble_model_1,12,0.2670807453416149
ensemble_model_1,20,0.2670807453416149
ensemble_model_1,14,0.2670807453416149
ensemble_model_1,18,0.2670807453416149
ensemble_model_1,15,0.2670807453416149
ensemble_model_1,13,0.2670807453416149
ensemble_model_1,1,0.2670807453416149
ensemble_model_1,10,0.2670807453416149
ensemble_model_1,16,0.2670807453416149
ensemble_model_1,17,0.2670807453416149
ensemble_model_1,19,0.2670807453416149
ensemble_model_1,2,0.2670807453416149
ensemble_model_2,9,0.17624223602484473
ensemble_model_2,6,0.17624223602484473
ensemble_model_2,4,0.17624223602484473
ensemble_model_2,5,0.17624223602484473
ensemble_model_2,8,0.17624223602484473
ensemble_model_2,3,0.17624223602484473
ensemble_model_2,12,0.17624223602484473
ensemble_model_2,20,0.17624223602484473
ensemble_model_2,11,0.17624223602484473
ensemble_model_2,7,0.17624223602484473
ensemble_model_2,13,0.17624223602484473
ensemble_model_2,14,0.17624223602484473
ensemble_model_2,1,0.17624223602484473
ensemble_model_2,18,0.17624223602484473
ensemble_model_2,15,0.17624223602484473
ensemble_model_2,17,0.17624223602484473
ensemble_model_2,16,0.17624223602484473
ensemble_model_2,10,0.17624223602484473
ensemble_model_2,19,0.17624223602484473
ensemble_model_2,2,0.17624223602484473
ensemble_model_3,9,0.12111801242236025
ensemble_model_3,5,0.12111801242236025
ensemble_model_3,6,0.12111801242236025
ensemble_model_3,8,0.12111801242236025
ensemble_model_3,4,0.12111801242236025
ensemble_model_3,12,0.12111801242236025
ensemble_model_3,3,0.12111801242236025
ensemble_model_3,11,0.12111801242236025
ensemble_model_3,20,0.12111801242236025
ensemble_model_3,13,0.12111801242236025
ensemble_model_3,1,0.12111801242236025
ensemble_model_3,7,0.12111801242236025
ensemble_model_3,14,0.12111801242236025
ensemble_model_3,17,0.12111801242236025
ensemble_model_3,18,0.12111801242236025
ensemble_model_3,10,0.12111801242236025
ensemble_model_3,15,0.12111801242236025
ensemble_model_3,16,0.12111801242236025
ensemble_model_3,19,0.12111801242236025
ensemble_model_3,2,0.12111801242236025
ensemble_model_4,9,0.687888198757764
