==========================================
max_epoch:30
batch_size:64
worker:4
dset:m2u
lr:0.01
seed:2020
cls_par:0.0
ent_par:1.0
gent:True
ent:True
bottleneck:256
layer:wn
classifier:bn
smooth:0.1
output:ckps_digits
issave:True
class_num:10
output_dir:ckps_digits/seed2020/m2u
out_file:<_io.TextIOWrapper name='ckps_digits/seed2020/m2u/log_tar_par_0.0.txt' mode='w' encoding='UTF-8'>
modelpath:ckps_digits/seed2020/m2u/source_C.pt
savename:par_0.0

Task: m2u, Iter:117/3510; Accuracy = 96.88%
Task: m2u, Iter:234/3510; Accuracy = 97.53%
Task: m2u, Iter:351/3510; Accuracy = 97.42%
Task: m2u, Iter:468/3510; Accuracy = 97.58%
Task: m2u, Iter:585/3510; Accuracy = 97.74%
Task: m2u, Iter:702/3510; Accuracy = 97.69%
Task: m2u, Iter:819/3510; Accuracy = 97.74%
Task: m2u, Iter:936/3510; Accuracy = 98.01%
Task: m2u, Iter:1053/3510; Accuracy = 98.01%
Task: m2u, Iter:1170/3510; Accuracy = 97.96%
Task: m2u, Iter:1287/3510; Accuracy = 98.01%
Task: m2u, Iter:1404/3510; Accuracy = 98.01%
Task: m2u, Iter:1521/3510; Accuracy = 97.90%
Task: m2u, Iter:1638/3510; Accuracy = 98.01%
Task: m2u, Iter:1755/3510; Accuracy = 98.01%
Task: m2u, Iter:1872/3510; Accuracy = 98.01%
Task: m2u, Iter:1989/3510; Accuracy = 98.01%
Task: m2u, Iter:2106/3510; Accuracy = 97.90%
Task: m2u, Iter:2223/3510; Accuracy = 98.06%
Task: m2u, Iter:2340/3510; Accuracy = 98.12%
Task: m2u, Iter:2457/3510; Accuracy = 98.17%
Task: m2u, Iter:2574/3510; Accuracy = 98.12%
Task: m2u, Iter:2691/3510; Accuracy = 98.06%
Task: m2u, Iter:2808/3510; Accuracy = 98.17%
Task: m2u, Iter:2925/3510; Accuracy = 98.06%
Task: m2u, Iter:3042/3510; Accuracy = 98.17%
Task: m2u, Iter:3159/3510; Accuracy = 98.06%
Task: m2u, Iter:3276/3510; Accuracy = 98.17%
Task: m2u, Iter:3393/3510; Accuracy = 98.01%
Task: m2u, Iter:3510/3510; Accuracy = 98.06%
