==========================================
max_epoch:30
batch_size:64
worker:4
dset:mnistelection
lr:0.01
seed:2020
cls_par:0.0
ent_par:1.0
gent:True
ent:True
bottleneck:256
layer:wn
classifier:bn
smooth:0.1
output:ckps_digits
issave:True
class_num:10
output_dir:ckps_digits/seed2020/mnistelection
savename:par_0.0
out_file:<_io.TextIOWrapper name='ckps_digits/seed2020/mnistelection/log_tar_par_0.0.txt' mode='w' encoding='UTF-8'>

Task: mnistelection, Iter:13/390; Accuracy = 28.49%
Task: mnistelection, Iter:26/390; Accuracy = 28.88%
Task: mnistelection, Iter:39/390; Accuracy = 30.62%
Task: mnistelection, Iter:52/390; Accuracy = 12.60%
Task: mnistelection, Iter:65/390; Accuracy = 32.75%
Task: mnistelection, Iter:78/390; Accuracy = 30.04%
Task: mnistelection, Iter:91/390; Accuracy = 33.33%
Task: mnistelection, Iter:104/390; Accuracy = 8.91%
Task: mnistelection, Iter:117/390; Accuracy = 10.66%
Task: mnistelection, Iter:130/390; Accuracy = 30.23%
Task: mnistelection, Iter:143/390; Accuracy = 12.40%
Task: mnistelection, Iter:156/390; Accuracy = 10.85%
Task: mnistelection, Iter:169/390; Accuracy = 8.33%
Task: mnistelection, Iter:182/390; Accuracy = 9.88%
Task: mnistelection, Iter:195/390; Accuracy = 28.49%
Task: mnistelection, Iter:208/390; Accuracy = 28.29%
Task: mnistelection, Iter:221/390; Accuracy = 12.21%
Task: mnistelection, Iter:234/390; Accuracy = 27.13%
Task: mnistelection, Iter:247/390; Accuracy = 27.52%
Task: mnistelection, Iter:260/390; Accuracy = 28.10%
Task: mnistelection, Iter:273/390; Accuracy = 28.29%
Task: mnistelection, Iter:286/390; Accuracy = 27.52%
Task: mnistelection, Iter:299/390; Accuracy = 28.10%
Task: mnistelection, Iter:312/390; Accuracy = 12.21%
Task: mnistelection, Iter:325/390; Accuracy = 12.40%
Task: mnistelection, Iter:338/390; Accuracy = 27.33%
Task: mnistelection, Iter:351/390; Accuracy = 27.52%
Task: mnistelection, Iter:364/390; Accuracy = 26.94%
Task: mnistelection, Iter:377/390; Accuracy = 7.56%
Task: mnistelection, Iter:390/390; Accuracy = 12.21%
