Class,Accuracy,iteration
0,0.022727272727272728,20.0
1,1.0,20.0
2,0.012195121951219513,20.0
3,0.0,20.0
4,0.06666666666666667,20.0
5,0.03571428571428571,20.0
6,0.010869565217391304,20.0
7,0.018867924528301886,20.0
8,0.0,20.0
9,0.0,20.0
0,0.022727272727272728,8.0
1,1.0,8.0
2,0.012195121951219513,8.0
3,0.0,8.0
4,0.06666666666666667,8.0
5,0.03571428571428571,8.0
6,0.010869565217391304,8.0
7,0.018867924528301886,8.0
8,0.0,8.0
9,0.0,8.0
0,0.022727272727272728,4.0
1,1.0,4.0
2,0.012195121951219513,4.0
3,0.0,4.0
4,0.06666666666666667,4.0
5,0.03571428571428571,4.0
6,0.010869565217391304,4.0
7,0.018867924528301886,4.0
8,0.0,4.0
9,0.0,4.0
0,0.022727272727272728,9.0
1,1.0,9.0
2,0.012195121951219513,9.0
3,0.0,9.0
4,0.06666666666666667,9.0
5,0.03571428571428571,9.0
6,0.010869565217391304,9.0
7,0.018867924528301886,9.0
8,0.0,9.0
9,0.0,9.0
0,0.022727272727272728,18.0
1,1.0,18.0
2,0.012195121951219513,18.0
3,0.0,18.0
4,0.06666666666666667,18.0
5,0.03571428571428571,18.0
6,0.010869565217391304,18.0
7,0.018867924528301886,18.0
8,0.0,18.0
9,0.0,18.0
0,0.022727272727272728,15.0
1,1.0,15.0
2,0.012195121951219513,15.0
3,0.0,15.0
4,0.06666666666666667,15.0
5,0.03571428571428571,15.0
6,0.010869565217391304,15.0
7,0.018867924528301886,15.0
8,0.0,15.0
9,0.0,15.0
0,0.022727272727272728,19.0
1,1.0,19.0
2,0.012195121951219513,19.0
3,0.0,19.0
4,0.06666666666666667,19.0
5,0.03571428571428571,19.0
6,0.010869565217391304,19.0
7,0.018867924528301886,19.0
8,0.0,19.0
9,0.0,19.0
0,0.022727272727272728,10.0
1,1.0,10.0
2,0.012195121951219513,10.0
3,0.0,10.0
4,0.06666666666666667,10.0
5,0.03571428571428571,10.0
6,0.010869565217391304,10.0
7,0.018867924528301886,10.0
8,0.0,10.0
9,0.0,10.0
0,0.022727272727272728,14.0
1,1.0,14.0
2,0.012195121951219513,14.0
0,0.022727272727272728,2.0
3,0.0,14.0
4,0.06666666666666667,14.0
1,1.0,2.0
2,0.012195121951219513,2.0
5,0.03571428571428571,14.0
3,0.0,2.0
6,0.010869565217391304,14.0
4,0.06666666666666667,2.0
5,0.03571428571428571,2.0
7,0.018867924528301886,14.0
6,0.010869565217391304,2.0
8,0.0,14.0
7,0.018867924528301886,2.0
9,0.0,14.0
8,0.0,2.0
9,0.0,2.0
0,0.022727272727272728,5.0
1,1.0,5.0
2,0.012195121951219513,5.0
3,0.0,5.0
4,0.06666666666666667,5.0
5,0.03571428571428571,5.0
6,0.010869565217391304,5.0
7,0.018867924528301886,5.0
8,0.0,5.0
9,0.0,5.0
0,0.022727272727272728,12.0
1,1.0,12.0
2,0.012195121951219513,12.0
3,0.0,12.0
4,0.06666666666666667,12.0
5,0.03571428571428571,12.0
6,0.010869565217391304,12.0
7,0.018867924528301886,12.0
8,0.0,12.0
9,0.0,12.0
0,0.022727272727272728,7.0
1,1.0,7.0
2,0.012195121951219513,7.0
3,0.0,7.0
4,0.06666666666666667,7.0
5,0.03571428571428571,7.0
6,0.010869565217391304,7.0
7,0.018867924528301886,7.0
8,0.0,7.0
9,0.0,7.0
0,0.022727272727272728,13.0
1,1.0,13.0
2,0.012195121951219513,13.0
3,0.0,13.0
4,0.06666666666666667,13.0
