Class,Accuracy,iteration
0,0.996938775510204,2.0
1,0.9973568281938326,2.0
2,0.9922480620155039,2.0
3,0.9920792079207921,2.0
4,0.9928716904276986,2.0
5,0.9910313901345291,2.0
6,0.9906054279749478,2.0
7,0.9892996108949417,2.0
8,0.9897330595482546,2.0
9,0.9861248761149654,2.0
0,0.996938775510204,5.0
1,0.9973568281938326,5.0
2,0.9922480620155039,5.0
3,0.9920792079207921,5.0
4,0.9928716904276986,5.0
5,0.9910313901345291,5.0
6,0.9906054279749478,5.0
7,0.9892996108949417,5.0
8,0.9897330595482546,5.0
9,0.9861248761149654,5.0
0,0.996938775510204,14.0
1,0.9973568281938326,14.0
2,0.9922480620155039,14.0
3,0.9920792079207921,14.0
4,0.9928716904276986,14.0
5,0.9910313901345291,14.0
6,0.9906054279749478,14.0
7,0.9892996108949417,14.0
8,0.9897330595482546,14.0
9,0.9861248761149654,14.0
0,0.996938775510204,7.0
1,0.9973568281938326,7.0
2,0.9922480620155039,7.0
3,0.9920792079207921,7.0
4,0.9928716904276986,7.0
5,0.9910313901345291,7.0
6,0.9906054279749478,7.0
7,0.9892996108949417,7.0
8,0.9897330595482546,7.0
9,0.9861248761149654,7.0
0,0.996938775510204,13.0
1,0.9973568281938326,13.0
2,0.9922480620155039,13.0
3,0.9920792079207921,13.0
4,0.9928716904276986,13.0
5,0.9910313901345291,13.0
6,0.9906054279749478,13.0
7,0.9892996108949417,13.0
8,0.9897330595482546,13.0
9,0.9861248761149654,13.0
0,0.996938775510204,19.0
1,0.9973568281938326,19.0
2,0.9922480620155039,19.0
3,0.9920792079207921,19.0
4,0.9928716904276986,19.0
5,0.9910313901345291,19.0
6,0.9906054279749478,19.0
7,0.9892996108949417,19.0
8,0.9897330595482546,19.0
9,0.9861248761149654,19.0
0,0.996938775510204,15.0
1,0.9973568281938326,15.0
2,0.9922480620155039,15.0
3,0.9920792079207921,15.0
4,0.9928716904276986,15.0
5,0.9910313901345291,15.0
6,0.9906054279749478,15.0
7,0.9892996108949417,15.0
8,0.9897330595482546,15.0
9,0.9861248761149654,15.0
0,0.996938775510204,1.0
1,0.9973568281938326,1.0
2,0.9922480620155039,1.0
3,0.9920792079207921,1.0
4,0.9928716904276986,1.0
5,0.9910313901345291,1.0
6,0.9906054279749478,1.0
7,0.9892996108949417,1.0
8,0.9897330595482546,1.0
9,0.9861248761149654,1.0
0,0.996938775510204,9.0
1,0.9973568281938326,9.0
2,0.9922480620155039,9.0
3,0.9920792079207921,9.0
4,0.9928716904276986,9.0
5,0.9910313901345291,9.0
6,0.9906054279749478,9.0
7,0.9892996108949417,9.0
8,0.9897330595482546,9.0
9,0.9861248761149654,9.0
0,0.996938775510204,17.0
0,0.996938775510204,8.0
1,0.9973568281938326,8.0
2,0.9922480620155039,8.0
3,0.9920792079207921,8.0
4,0.9928716904276986,8.0
5,0.9910313901345291,8.0
6,0.9906054279749478,8.0
7,0.9892996108949417,8.0
8,0.9897330595482546,8.0
9,0.9861248761149654,8.0
1,0.9973568281938326,17.0
2,0.9922480620155039,17.0
3,0.9920792079207921,17.0
4,0.9928716904276986,17.0
5,0.9910313901345291,17.0
6,0.9906054279749478,17.0
7,0.9892996108949417,17.0
8,0.9897330595482546,17.0
9,0.9861248761149654,17.0
0,0.996938775510204,3.0
1,0.9973568281938326,3.0
2,0.9922480620155039,3.0
3,0.9920792079207921,3.0
4,0.9928716904276986,3.0
5,0.9910313901345291,3.0
6,0.9906054279749478,3.0
7,0.9892996108949417,3.0
8,0.9897330595482546,3.0
9,0.9861248761149654,3.0
0,0.996938775510204,6.0
1,0.9973568281938326,6.0
2,0.9922480620155039,6.0
3,0.9920792079207921,6.0
4,0.9928716904276986,6.0
5,0.9910313901345291,6.0
6,0.9906054279749478,6.0
7,0.9892996108949417,6.0
8,0.9897330595482546,6.0
9,0.9861248761149654,6.0
0,0.996938775510204,16.0
1,0.9973568281938326,16.0
2,0.9922480620155039,16.0
3,0.9920792079207921,16.0
4,0.9928716904276986,16.0
5,0.9910313901345291,16.0
6,0.9906054279749478,16.0
7,0.9892996108949417,16.0
8,0.9897330595482546,16.0
9,0.9861248761149654,16.0
0,0.996938775510204,18.0
1,0.9973568281938326,18.0
2,0.9922480620155039,18.0
0,0.996938775510204,11.0
3,0.9920792079207921,18.0
1,0.9973568281938326,11.0
2,0.9922480620155039,11.0
3,0.9920792079207921,11.0
4,0.9928716904276986,11.0
5,0.9910313901345291,11.0
6,0.9906054279749478,11.0
7,0.9892996108949417,11.0
4,0.9928716904276986,18.0
8,0.9897330595482546,11.0
5,0.9910313901345291,18.0
9,0.9861248761149654,11.0
6,0.9906054279749478,18.0
7,0.9892996108949417,18.0
8,0.9897330595482546,18.0
9,0.9861248761149654,18.0
0,0.996938775510204,4.0
1,0.9973568281938326,4.0
2,0.9922480620155039,4.0
3,0.9920792079207921,4.0
4,0.9928716904276986,4.0
5,0.9910313901345291,4.0
6,0.9906054279749478,4.0
7,0.9892996108949417,4.0
8,0.9897330595482546,4.0
9,0.9861248761149654,4.0
0,0.996938775510204,20.0
1,0.9973568281938326,20.0
2,0.9922480620155039,20.0
3,0.9920792079207921,20.0
4,0.9928716904276986,20.0
5,0.9910313901345291,20.0
6,0.9906054279749478,20.0
7,0.9892996108949417,20.0
8,0.9897330595482546,20.0
9,0.9861248761149654,20.0
0,0.996938775510204,12.0
1,0.9973568281938326,12.0
2,0.9922480620155039,12.0
3,0.9920792079207921,12.0
4,0.9928716904276986,12.0
5,0.9910313901345291,12.0
6,0.9906054279749478,12.0
7,0.9892996108949417,12.0
8,0.9897330595482546,12.0
9,0.9861248761149654,12.0
0,0.996938775510204,10.0
1,0.9973568281938326,10.0
2,0.9922480620155039,10.0
3,0.9920792079207921,10.0
4,0.9928716904276986,10.0
5,0.9910313901345291,10.0
6,0.9906054279749478,10.0
7,0.9892996108949417,10.0
8,0.9897330595482546,10.0
9,0.9861248761149654,10.0
0,0.996938775510204,26.0
1,0.9973568281938326,26.0
2,0.9922480620155039,26.0
3,0.9920792079207921,26.0
4,0.9928716904276986,26.0
5,0.9910313901345291,26.0
6,0.9906054279749478,26.0
7,0.9892996108949417,26.0
8,0.9897330595482546,26.0
9,0.9861248761149654,26.0
0,0.996938775510204,34.0
1,0.9973568281938326,34.0
2,0.9922480620155039,34.0
3,0.9920792079207921,34.0
4,0.9928716904276986,34.0
5,0.9910313901345291,34.0
6,0.9906054279749478,34.0
7,0.9892996108949417,34.0
8,0.9897330595482546,34.0
9,0.9861248761149654,34.0
0,0.996938775510204,21.0
1,0.9973568281938326,21.0
2,0.9922480620155039,21.0
3,0.9920792079207921,21.0
