Class,Accuracy,iteration,dset_size
0,0.9979591836734694,8.0,0.1
1,0.9823788546255506,8.0,0.1
2,0.9883720930232558,8.0,0.1
3,0.994059405940594,8.0,0.1
4,0.9714867617107943,8.0,0.1
5,0.9652466367713004,8.0,0.1
6,0.9791231732776617,8.0,0.1
7,0.9727626459143969,8.0,0.1
8,0.9784394250513347,8.0,0.1
9,0.9871159563924677,8.0,0.1
0,0.9979591836734694,7.0,0.1
1,0.9823788546255506,7.0,0.1
2,0.9883720930232558,7.0,0.1
3,0.994059405940594,7.0,0.1
4,0.9714867617107943,7.0,0.1
5,0.9652466367713004,7.0,0.1
6,0.9791231732776617,7.0,0.1
7,0.9727626459143969,7.0,0.1
8,0.9784394250513347,7.0,0.1
9,0.9871159563924677,7.0,0.1
0,0.9979591836734694,10.0,0.1
1,0.9823788546255506,10.0,0.1
2,0.9883720930232558,10.0,0.1
3,0.994059405940594,10.0,0.1
4,0.9714867617107943,10.0,0.1
5,0.9652466367713004,10.0,0.1
6,0.9791231732776617,10.0,0.1
7,0.9727626459143969,10.0,0.1
8,0.9784394250513347,10.0,0.1
9,0.9871159563924677,10.0,0.1
0,0.9979591836734694,6.0,0.1
1,0.9823788546255506,6.0,0.1
2,0.9883720930232558,6.0,0.1
3,0.994059405940594,6.0,0.1
4,0.9714867617107943,6.0,0.1
5,0.9652466367713004,6.0,0.1
6,0.9791231732776617,6.0,0.1
7,0.9727626459143969,6.0,0.1
8,0.9784394250513347,6.0,0.1
9,0.9871159563924677,6.0,0.1
0,0.9979591836734694,2.0,0.1
1,0.9823788546255506,2.0,0.1
2,0.9883720930232558,2.0,0.1
3,0.994059405940594,2.0,0.1
4,0.9714867617107943,2.0,0.1
5,0.9652466367713004,2.0,0.1
6,0.9791231732776617,2.0,0.1
7,0.9727626459143969,2.0,0.1
8,0.9784394250513347,2.0,0.1
9,0.9871159563924677,2.0,0.1
0,0.9979591836734694,3.0,0.1
1,0.9823788546255506,3.0,0.1
2,0.9883720930232558,3.0,0.1
3,0.994059405940594,3.0,0.1
4,0.9714867617107943,3.0,0.1
5,0.9652466367713004,3.0,0.1
6,0.9791231732776617,3.0,0.1
7,0.9727626459143969,3.0,0.1
8,0.9784394250513347,3.0,0.1
9,0.9871159563924677,3.0,0.1
0,0.9979591836734694,5.0,0.1
1,0.9823788546255506,5.0,0.1
2,0.9883720930232558,5.0,0.1
3,0.994059405940594,5.0,0.1
4,0.9714867617107943,5.0,0.1
5,0.9652466367713004,5.0,0.1
6,0.9791231732776617,5.0,0.1
7,0.9727626459143969,5.0,0.1
8,0.9784394250513347,5.0,0.1
9,0.9871159563924677,5.0,0.1
0,0.9979591836734694,9.0,0.1
1,0.9823788546255506,9.0,0.1
2,0.9883720930232558,9.0,0.1
3,0.994059405940594,9.0,0.1
4,0.9714867617107943,9.0,0.1
5,0.9652466367713004,9.0,0.1
6,0.9791231732776617,9.0,0.1
7,0.9727626459143969,9.0,0.1
8,0.9784394250513347,9.0,0.1
9,0.9871159563924677,9.0,0.1
0,0.9979591836734694,4.0,0.1
1,0.9823788546255506,4.0,0.1
2,0.9883720930232558,4.0,0.1
3,0.994059405940594,4.0,0.1
4,0.9714867617107943,4.0,0.1
5,0.9652466367713004,4.0,0.1
6,0.9791231732776617,4.0,0.1
7,0.9727626459143969,4.0,0.1
8,0.9784394250513347,4.0,0.1
9,0.9871159563924677,4.0,0.1
0,0.9979591836734694,1.0,0.1
1,0.9823788546255506,1.0,0.1
2,0.9883720930232558,1.0,0.1
3,0.994059405940594,1.0,0.1
4,0.9714867617107943,1.0,0.1
5,0.9652466367713004,1.0,0.1
6,0.9791231732776617,1.0,0.1
7,0.9727626459143969,1.0,0.1
8,0.9784394250513347,1.0,0.1
9,0.9871159563924677,1.0,0.1
0,0.9979591836734694,20.0,0.1
1,0.9823788546255506,20.0,0.1
2,0.9883720930232558,20.0,0.1
3,0.994059405940594,20.0,0.1
4,0.9714867617107943,20.0,0.1
5,0.9652466367713004,20.0,0.1
6,0.9791231732776617,20.0,0.1
7,0.9727626459143969,20.0,0.1
8,0.9784394250513347,20.0,0.1
9,0.9871159563924677,20.0,0.1
0,0.9979591836734694,14.0,0.1
1,0.9823788546255506,14.0,0.1
2,0.9883720930232558,14.0,0.1
3,0.994059405940594,14.0,0.1
4,0.9714867617107943,14.0,0.1
5,0.9652466367713004,14.0,0.1
6,0.9791231732776617,14.0,0.1
7,0.9727626459143969,14.0,0.1
8,0.9784394250513347,14.0,0.1
9,0.9871159563924677,14.0,0.1
0,0.9979591836734694,6.0,0.1
1,0.9823788546255506,6.0,0.1
2,0.9883720930232558,6.0,0.1
3,0.994059405940594,6.0,0.1
4,0.9714867617107943,6.0,0.1
5,0.9652466367713004,6.0,0.1
6,0.9791231732776617,6.0,0.1
7,0.9727626459143969,6.0,0.1
8,0.9784394250513347,6.0,0.1
9,0.9871159563924677,6.0,0.1
0,0.9979591836734694,10.0,0.1
1,0.9823788546255506,10.0,0.1
2,0.9883720930232558,10.0,0.1
3,0.994059405940594,10.0,0.1
4,0.9714867617107943,10.0,0.1
5,0.9652466367713004,10.0,0.1
6,0.9791231732776617,10.0,0.1
7,0.9727626459143969,10.0,0.1
8,0.9784394250513347,10.0,0.1
9,0.9871159563924677,10.0,0.1
0,0.9979591836734694,2.0,0.1
1,0.9823788546255506,2.0,0.1
2,0.9883720930232558,2.0,0.1
3,0.994059405940594,2.0,0.1
4,0.9714867617107943,2.0,0.1
5,0.9652466367713004,2.0,0.1
