model_name,iteration,accuracy,precision,recall,f1
lenet5_base,1,0.9940,0.9750,0.9800,0.9780
lenet5_base,2,0.9941,0.9760,0.9810,0.9785
lenet5_base,3,0.9942,0.9770,0.9820,0.9790
lenet5_base,4,0.9943,0.9780,0.9830,0.9795
lenet5_base,5,0.9944,0.9790,0.9840,0.9800
lenet5_base,6,0.9945,0.9800,0.9850,0.9805
lenet5_base,7,0.9946,0.9810,0.9860,0.9810
lenet5_base,8,0.9947,0.9820,0.9870,0.9815
lenet5_base,9,0.9948,0.9830,0.9880,0.9820
lenet5_base,10,0.9949,0.9840,0.9890,0.9825
lenet5_base,11,0.9950,0.9850,0.9900,0.9830
lenet5_base,12,0.9951,0.9860,0.9910,0.9835
lenet5_base,13,0.9952,0.9870,0.9920,0.9840
lenet5_base,14,0.9953,0.9880,0.9930,0.9845
lenet5_base,15,0.9954,0.9890,0.9940,0.9850
lenet5_base,16,0.9955,0.9900,0.9950,0.9855
lenet5_base,17,0.9956,0.9910,0.9960,0.9860
lenet5_base,18,0.9957,0.9920,0.9970,0.9865
lenet5_base,19,0.9958,0.9930,0.9980,0.9870
lenet5_base,20,0.9959,0.9940,0.9990,0.9875
lenet5_base,21,0.9960,0.9950,0.9700,0.9880
lenet5_base,22,0.9940,0.9750,0.9800,0.9780
lenet5_base,23,0.9941,0.9760,0.9810,0.9785
lenet5_base,24,0.9942,0.9770,0.9820,0.9790
lenet5_base,25,0.9943,0.9780,0.9830,0.9795
lenet5_base,26,0.9944,0.9790,0.9840,0.9800
lenet5_base,27,0.9945,0.9800,0.9850,0.9805
lenet5_base,28,0.9946,0.9810,0.9860,0.9810
lenet5_base,29,0.9947,0.9820,0.9870,0.9815
lenet5_base,30,0.9948,0.9830,0.9880,0.9820
lenet5_base,31,0.9949,0.9840,0.9890,0.9825
lenet5_base,32,0.9950,0.9850,0.9900,0.9830
lenet5_base,33,0.9951,0.9860,0.9910,0.9835
lenet5_base,34,0.9952,0.9870,0.9920,0.9840
lenet5_base,35,0.9953,0.9880,0.9930,0.9845
lenet5_base,36,0.9954,0.9890,0.9940,0.9850
lenet5_base,37,0.9955,0.9900,0.9950,0.9855
lenet5_base,38,0.9956,0.9910,0.9960,0.9860
lenet5_base,39,0.9957,0.9920,0.9970,0.9865
lenet5_base,40,0.9958,0.9930,0.9980,0.9870
lenet5_base,41,0.9959,0.9940,0.9990,0.9875
lenet5_base,42,0.9960,0.9950,0.9700,0.9880
lenet5_base,43,0.9940,0.9750,0.9800,0.9780
lenet5_base,44,0.9941,0.9760,0.9810,0.9785
lenet5_base,45,0.9942,0.9770,0.9820,0.9790
lenet5_base,46,0.9943,0.9780,0.9830,0.9795
lenet5_base,47,0.9944,0.9790,0.9840,0.9800
lenet5_base,48,0.9945,0.9800,0.9850,0.9805
lenet5_base,49,0.9946,0.9810,0.9860,0.9810
lenet5_base,50,0.9947,0.9820,0.9870,0.9815
lenet5_base,51,0.9948,0.9830,0.9880,0.9820
lenet5_base,52,0.9949,0.9840,0.9890,0.9825
lenet5_base,53,0.9950,0.9850,0.9900,0.9830
lenet5_base,54,0.9951,0.9860,0.9910,0.9835
lenet5_base,55,0.9952,0.9870,0.9920,0.9840
