model_name,iteration,class_label,accuracy,step,batch_size
lenet5_batchNorm3,4,3,0.968503937007874,1,64
lenet5_batchNorm3,4,1,0.7232704402515723,1,64
lenet5_batchNorm3,4,0,0.5340909090909091,1,64
lenet5_batchNorm3,4,7,0.4716981132075472,1,64
lenet5_batchNorm3,4,5,0.875,1,64
lenet5_batchNorm3,4,2,0.6341463414634146,1,64
lenet5_batchNorm3,4,6,0.22826086956521738,1,64
lenet5_batchNorm3,4,4,0.8083333333333333,1,64
lenet5_batchNorm3,4,8,0.358974358974359,1,64
lenet5_batchNorm3,4,9,0.10843373493975904,1,64
lenet5_batchNorm3,15,3,0.968503937007874,1,64
lenet5_batchNorm3,15,5,0.875,1,64
lenet5_batchNorm3,15,7,0.4811320754716981,1,64
lenet5_batchNorm3,15,1,0.7327044025157232,1,64
lenet5_batchNorm3,15,0,0.5568181818181818,1,64
lenet5_batchNorm3,15,2,0.6219512195121951,1,64
lenet5_batchNorm3,15,4,0.8,1,64
lenet5_batchNorm3,15,6,0.22826086956521738,1,64
lenet5_batchNorm3,15,8,0.358974358974359,1,64
lenet5_batchNorm3,15,9,0.13253012048192772,1,64
lenet5_batchNorm3,13,0,0.5454545454545454,1,64
lenet5_batchNorm3,13,7,0.4716981132075472,1,64
lenet5_batchNorm3,13,2,0.6402439024390244,1,64
lenet5_batchNorm3,13,5,0.875,1,64
lenet5_batchNorm3,13,4,0.8083333333333333,1,64
lenet5_batchNorm3,13,3,0.9763779527559056,1,64
lenet5_batchNorm3,13,1,0.7327044025157232,1,64
lenet5_batchNorm3,13,9,0.0963855421686747,1,64
lenet5_batchNorm3,13,8,0.3717948717948718,1,64
lenet5_batchNorm3,13,6,0.21739130434782608,1,64
lenet5_batchNorm3,11,3,0.968503937007874,1,64
lenet5_batchNorm3,11,4,0.8,1,64
lenet5_batchNorm3,11,1,0.7389937106918238,1,64
lenet5_batchNorm3,11,5,0.8839285714285714,1,64
lenet5_batchNorm3,11,2,0.6341463414634146,1,64
lenet5_batchNorm3,11,7,0.4811320754716981,1,64
lenet5_batchNorm3,11,9,0.12048192771084337,1,64
lenet5_batchNorm3,11,8,0.358974358974359,1,64
lenet5_batchNorm3,11,6,0.21739130434782608,1,64
lenet5_batchNorm3,11,0,0.5681818181818182,1,64
lenet5_batchNorm3,12,2,0.6158536585365854,1,64
lenet5_batchNorm3,12,6,0.21739130434782608,1,64
lenet5_batchNorm3,12,0,0.5340909090909091,1,64
lenet5_batchNorm3,12,1,0.7389937106918238,1,64
lenet5_batchNorm3,12,9,0.10843373493975904,1,64
lenet5_batchNorm3,12,4,0.7916666666666666,1,64
lenet5_batchNorm3,12,3,0.9763779527559056,1,64
lenet5_batchNorm3,12,8,0.3717948717948718,1,64
lenet5_batchNorm3,12,7,0.4716981132075472,1,64
lenet5_batchNorm3,12,5,0.875,1,64
lenet5_batchNorm3,20,0,0.5795454545454546,1,64
lenet5_batchNorm3,20,4,0.8,1,64
lenet5_batchNorm3,20,1,0.7295597484276729,1,64
lenet5_batchNorm3,20,3,0.968503937007874,1,64
lenet5_batchNorm3,20,2,0.6280487804878049,1,64
lenet5_batchNorm3,20,7,0.5,1,64
lenet5_batchNorm3,20,5,0.875,1,64
lenet5_batchNorm3,20,6,0.20652173913043478,1,64
lenet5_batchNorm3,20,8,0.3717948717948718,1,64
lenet5_batchNorm3,20,9,0.10843373493975904,1,64
lenet5_batchNorm3,10,1,0.7327044025157232,1,64
lenet5_batchNorm3,10,6,0.20652173913043478,1,64
lenet5_batchNorm3,10,9,0.10843373493975904,1,64
lenet5_batchNorm3,10,4,0.7916666666666666,1,64
