model_name,iteration,class_label,accuracy,dset_size
lenet5_batchNorm5,17,7,0.9883268482490273,0.1
lenet5_batchNorm5,17,2,0.9922480620155039,0.1
lenet5_batchNorm5,17,1,0.9938325991189427,0.1
lenet5_batchNorm5,17,0,0.9928571428571429,0.1
lenet5_batchNorm5,17,4,0.9908350305498982,0.1
lenet5_batchNorm5,17,9,0.9801783944499505,0.1
lenet5_batchNorm5,17,5,0.9887892376681614,0.1
lenet5_batchNorm5,17,6,0.9874739039665971,0.1
lenet5_batchNorm5,17,3,0.9900990099009901,0.1
lenet5_batchNorm5,17,8,0.9907597535934292,0.1
lenet5_batchNorm5,18,7,0.9883268482490273,0.1
lenet5_batchNorm5,18,2,0.9922480620155039,0.1
lenet5_batchNorm5,18,1,0.9938325991189427,0.1
lenet5_batchNorm5,18,0,0.9928571428571429,0.1
lenet5_batchNorm5,18,4,0.9908350305498982,0.1
lenet5_batchNorm5,18,9,0.9801783944499505,0.1
lenet5_batchNorm5,18,5,0.9887892376681614,0.1
lenet5_batchNorm5,18,6,0.9874739039665971,0.1
lenet5_batchNorm5,18,3,0.9900990099009901,0.1
lenet5_batchNorm5,18,8,0.9907597535934292,0.1
lenet5_batchNorm5,9,7,0.9883268482490273,0.1
lenet5_batchNorm5,9,2,0.9922480620155039,0.1
lenet5_batchNorm5,9,1,0.9938325991189427,0.1
lenet5_batchNorm5,9,0,0.9928571428571429,0.1
lenet5_batchNorm5,9,4,0.9908350305498982,0.1
lenet5_batchNorm5,9,9,0.9801783944499505,0.1
lenet5_batchNorm5,9,5,0.9887892376681614,0.1
lenet5_batchNorm5,9,6,0.9874739039665971,0.1
lenet5_batchNorm5,9,3,0.9900990099009901,0.1
lenet5_batchNorm5,9,8,0.9907597535934292,0.1
lenet5_batchNorm5,1,7,0.9883268482490273,0.1
lenet5_batchNorm5,1,2,0.9922480620155039,0.1
lenet5_batchNorm5,1,1,0.9938325991189427,0.1
lenet5_batchNorm5,1,0,0.9928571428571429,0.1
lenet5_batchNorm5,1,4,0.9908350305498982,0.1
lenet5_batchNorm5,1,9,0.9801783944499505,0.1
lenet5_batchNorm5,1,5,0.9887892376681614,0.1
lenet5_batchNorm5,1,6,0.9874739039665971,0.1
lenet5_batchNorm5,1,3,0.9900990099009901,0.1
lenet5_batchNorm5,1,8,0.9907597535934292,0.1
lenet5_batchNorm5,5,7,0.9883268482490273,0.1
lenet5_batchNorm5,5,2,0.9922480620155039,0.1
lenet5_batchNorm5,5,1,0.9938325991189427,0.1
lenet5_batchNorm5,5,0,0.9928571428571429,0.1
lenet5_batchNorm5,5,4,0.9908350305498982,0.1
lenet5_batchNorm5,5,9,0.9801783944499505,0.1
lenet5_batchNorm5,5,5,0.9887892376681614,0.1
lenet5_batchNorm5,5,6,0.9874739039665971,0.1
lenet5_batchNorm5,5,3,0.9900990099009901,0.1
