model_name,iteration,accuracy,precision,recall,f1,steps,batch_size
lenet5_batchNorm2,4,0.46195652173913043,0.487244598393333,0.4192586778808619,0.41544928086152233,9,16
lenet5_batchNorm2,1,0.4231366459627329,0.47259545466375313,0.38914042627600126,0.37887087238716727,9,16
lenet5_batchNorm2,12,0.48835403726708076,0.5313346154605315,0.443737076169236,0.4457811099970705,9,16
lenet5_batchNorm2,18,0.47593167701863354,0.5174249255029295,0.4511750575674311,0.44362634650490207,9,16
lenet5_batchNorm2,11,0.4611801242236025,0.5082471130986732,0.42577373170917676,0.42235835323685195,9,16
lenet5_batchNorm2,5,0.5062111801242236,0.5157234869532373,0.4543909050182718,0.45292317889086764,9,16
lenet5_batchNorm2,13,0.5,0.5195072849870567,0.4566594420389028,0.45343087805492077,9,16
lenet5_batchNorm2,3,0.4922360248447205,0.49903817497896885,0.4394202632204959,0.4360697297704462,9,16
lenet5_batchNorm2,9,0.5450310559006211,0.5326383364117571,0.4869599004995898,0.48516509925293166,9,16
lenet5_batchNorm2,17,0.5031055900621118,0.5163960999175357,0.4584825323734509,0.4515210644673554,9,16
lenet5_batchNorm2,10,0.4192546583850932,0.4838040631829223,0.3999022435980043,0.39440408369564633,9,16
lenet5_batchNorm2,6,0.4495341614906832,0.5191859263703739,0.4131455908966064,0.41094917070484505,9,16
lenet5_batchNorm2,7,0.49767080745341613,0.5190141898014633,0.45616083935874235,0.4512305715451384,9,16
lenet5_batchNorm2,20,0.483695652173913,0.5220358079006875,0.4435367584964604,0.44234132790052366,9,16
lenet5_batchNorm2,19,0.5225155279503105,0.5205599355936539,0.46532479944569494,0.46245879172908017,9,16
lenet5_batchNorm2,16,0.5093167701863354,0.5395831366060635,0.4639218806873015,0.462620185544766,9,16
lenet5_batchNorm2,14,0.4332298136645963,0.4957881594563047,0.40668504735425665,0.40029978513029507,9,16
lenet5_batchNorm2,8,0.46040372670807456,0.5095824143500898,0.4239836269217839,0.4198507548652487,9,16
lenet5_batchNorm2,2,0.42624223602484473,0.4940677045726544,0.40391922228396204,0.3965861394872547,9,16
lenet5_batchNorm2,15,0.4200310559006211,0.49032344356165414,0.3945145921792969,0.3873968247832151,9,16
lenet5_batchNorm2,33,0.4611801242236025,0.5025663949766456,0.4260984586229074,0.42191497514907816,9,16
lenet5_batchNorm2,23,0.5256211180124224,0.5371365910978014,0.4723324473383498,0.47040821220928136,9,16
lenet5_batchNorm2,28,0.4720496894409938,0.5070403991752946,0.427393406086052,0.4200887482937191,9,16
lenet5_batchNorm2,31,0.4860248447204969,0.49783839265889257,0.4413318568313803,0.43566901625024423,9,16
lenet5_batchNorm2,22,0.4363354037267081,0.4803477924173453,0.40771602960890796,0.4014591976466937,9,16
lenet5_batchNorm2,26,0.515527950310559,0.5213244069777171,0.4657334925375417,0.4618394757962564,9,16
lenet5_batchNorm2,24,0.5069875776397516,0.5188235981155396,0.4616884438826049,0.45768016668571265,9,16
lenet5_batchNorm2,21,0.48680124223602483,0.5135194086642467,0.43907775010647476,0.4401994371667596,9,16
