iteration,accuracy_before,accuracy_after,dset_size,interval_iter_tracker
8.0,0.2734375,0.046875,0.1,1
3.0,0.2734375,0.046875,0.1,1
7.0,0.2734375,0.046875,0.1,1
1.0,0.2734375,0.046875,0.1,1
10.0,0.2734375,0.046875,0.1,1
6.0,0.2734375,0.046875,0.1,1
5.0,0.2734375,0.046875,0.1,1
4.0,0.2734375,0.046875,0.1,1
2.0,0.2734375,0.046875,0.1,1
9.0,0.2734375,0.046875,0.1,1
1.0,0.2734375,0.3828125,0.1,2
8.0,0.2734375,0.3828125,0.1,2
7.0,0.2734375,0.3828125,0.1,2
6.0,0.2734375,0.3828125,0.1,2
2.0,0.2734375,0.3828125,0.1,2
5.0,0.2734375,0.3828125,0.1,2
10.0,0.2734375,0.3828125,0.1,2
4.0,0.2734375,0.3828125,0.1,2
3.0,0.2734375,0.3828125,0.1,2
9.0,0.2734375,0.3828125,0.1,2
2.0,0.328125,0.0625,0.1,3
7.0,0.328125,0.0625,0.1,3
10.0,0.328125,0.0625,0.1,3
5.0,0.328125,0.0625,0.1,3
8.0,0.328125,0.0625,0.1,3
6.0,0.328125,0.0625,0.1,3
1.0,0.328125,0.0625,0.1,3
4.0,0.328125,0.0625,0.1,3
3.0,0.328125,0.0625,0.1,3
9.0,0.328125,0.0625,0.1,3
1.0,0.3515625,0.4609375,0.1,4
5.0,0.3515625,0.4609375,0.1,4
7.0,0.359375,0.4609375,0.1,4
8.0,0.359375,0.4609375,0.1,4
10.0,0.3515625,0.4609375,0.1,4
4.0,0.3515625,0.4609375,0.1,4
2.0,0.359375,0.4609375,0.1,4
3.0,0.3515625,0.4609375,0.1,4
9.0,0.3515625,0.4609375,0.1,4
6.0,0.3515625,0.4609375,0.1,4
8.0,0.46875,0.4296875,0.1,5
1.0,0.46875,0.4296875,0.1,5
7.0,0.46875,0.4296875,0.1,5
5.0,0.46875,0.4296875,0.1,5
10.0,0.4609375,0.4296875,0.1,5
4.0,0.46875,0.4296875,0.1,5
3.0,0.46875,0.4296875,0.1,5
6.0,0.46875,0.4296875,0.1,5
2.0,0.46875,0.4453125,0.1,5
9.0,0.46875,0.4296875,0.1,5
8.0,0.515625,0.4609375,0.1,6
10.0,0.5078125,0.453125,0.1,6
5.0,0.515625,0.4765625,0.1,6
4.0,0.5078125,0.4765625,0.1,6
3.0,0.5078125,0.4765625,0.1,6
1.0,0.515625,0.4765625,0.1,6
7.0,0.515625,0.4609375,0.1,6
2.0,0.5078125,0.4765625,0.1,6
6.0,0.515625,0.4765625,0.1,6
9.0,0.5078125,0.4765625,0.1,6
8.0,0.515625,0.046875,0.1,7
3.0,0.515625,0.046875,0.1,7
7.0,0.515625,0.046875,0.1,7
1.0,0.5234375,0.046875,0.1,7
10.0,0.515625,0.046875,0.1,7
5.0,0.5234375,0.046875,0.1,7
4.0,0.5234375,0.046875,0.1,7
6.0,0.515625,0.046875,0.1,7
9.0,0.5234375,0.046875,0.1,7
2.0,0.515625,0.046875,0.1,7
8.0,0.5234375,0.046875,0.1,8
7.0,0.5234375,0.046875,0.1,8
1.0,0.5390625,0.046875,0.1,8
3.0,0.5234375,0.046875,0.1,8
5.0,0.53125,0.046875,0.1,8
10.0,0.515625,0.046875,0.1,8
4.0,0.5234375,0.046875,0.1,8
6.0,0.5234375,0.046875,0.1,8
9.0,0.5234375,0.046875,0.1,8
2.0,0.5390625,0.046875,0.1,8
8.0,0.546875,0.046875,0.1,9
6.0,0.546875,0.046875,0.1,9
3.0,0.546875,0.046875,0.1,9
7.0,0.546875,0.046875,0.1,9
1.0,0.5546875,0.53125,0.1,9
9.0,0.546875,0.046875,0.1,9
4.0,0.5546875,0.046875,0.1,9
10.0,0.546875,0.046875,0.1,9
5.0,0.546875,0.046875,0.1,9
2.0,0.5625,0.515625,0.1,9
8.0,0.5703125,0.546875,0.1,10
3.0,0.5703125,0.53125,0.1,10
6.0,0.5703125,0.5546875,0.1,10
1.0,0.59375,0.5546875,0.1,10
7.0,0.5703125,0.5390625,0.1,10
2.0,0.5859375,0.5390625,0.1,10
10.0,0.5703125,0.046875,0.1,10
4.0,0.5703125,0.546875,0.1,10
9.0,0.578125,0.5546875,0.1,10
5.0,0.5859375,0.5546875,0.1,10
8.0,0.609375,0.5703125,0.1,11
3.0,0.6015625,0.5546875,0.1,11
6.0,0.6015625,0.5625,0.1,11
7.0,0.609375,0.5703125,0.1,11
2.0,0.609375,0.046875,0.1,11
1.0,0.640625,0.046875,0.1,11
4.0,0.609375,0.5625,0.1,11
10.0,0.5625,0.5546875,0.1,11
9.0,0.6015625,0.5625,0.1,11
5.0,0.6015625,0.5703125,0.1,11
8.0,0.6328125,0.578125,0.1,12
6.0,0.625,0.046875,0.1,12
3.0,0.6328125,0.046875,0.1,12
7.0,0.625,0.046875,0.1,12
2.0,0.6171875,0.046875,0.1,12
1.0,0.6171875,0.5859375,0.1,12
4.0,0.6328125,0.046875,0.1,12
10.0,0.609375,0.046875,0.1,12
9.0,0.6328125,0.046875,0.1,12
5.0,0.6328125,0.046875,0.1,12
8.0,0.65625,0.6171875,0.1,13
6.0,0.65625,0.609375,0.1,13
7.0,0.6328125,0.609375,0.1,13
3.0,0.65625,0.5625,0.1,13
4.0,0.6484375,0.6015625,0.1,13
2.0,0.640625,0.6015625,0.1,13
10.0,0.609375,0.5703125,0.1,13
1.0,0.640625,0.609375,0.1,13
9.0,0.65625,0.59375,0.1,13
5.0,0.6484375,0.6015625,0.1,13
6.0,0.6796875,0.6171875,0.1,14
8.0,0.6796875,0.625,0.1,14
3.0,0.6796875,0.6328125,0.1,14
7.0,0.6796875,0.625,0.1,14
2.0,0.671875,0.6328125,0.1,14
4.0,0.6796875,0.625,0.1,14
10.0,0.6484375,0.5625,0.1,14
9.0,0.6796875,0.6171875,0.1,14
1.0,0.6640625,0.609375,0.1,14
5.0,0.6796875,0.6171875,0.1,14
8.0,0.6640625,0.6328125,0.1,15
6.0,0.6796875,0.625,0.1,15
3.0,0.671875,0.6328125,0.1,15
7.0,0.6640625,0.609375,0.1,15
2.0,0.671875,0.6171875,0.1,15
4.0,0.671875,0.6171875,0.1,15
10.0,0.640625,0.6328125,0.1,15
9.0,0.671875,0.6171875,0.1,15
1.0,0.65625,0.609375,0.1,15
5.0,0.6640625,0.6171875,0.1,15
3.0,0.671875,0.6328125,0.1,16
6.0,0.671875,0.609375,0.1,16
8.0,0.65625,0.6171875,0.1,16
7.0,0.671875,0.6015625,0.1,16
2.0,0.671875,0.625,0.1,16
4.0,0.671875,0.6015625,0.1,16
10.0,0.640625,0.5703125,0.1,16
1.0,0.6640625,0.5859375,0.1,16
9.0,0.671875,0.6171875,0.1,16
5.0,0.6796875,0.609375,0.1,16
6.0,0.6796875,0.6328125,0.1,17
3.0,0.671875,0.6328125,0.1,17
8.0,0.671875,0.6328125,0.1,17
7.0,0.671875,0.625,0.1,17
2.0,0.671875,0.6171875,0.1,17
4.0,0.6796875,0.640625,0.1,17
10.0,0.65625,0.5625,0.1,17
