iteration,step_size,model_name,accuracy,batch_size
8,2,resnet32.pt,0.5838509316770186,16
7,2,resnet32.pt,0.5854037267080745,16
1,2,resnet32.pt,0.578416149068323,16
9,2,resnet32.pt,0.5970496894409938,16
10,2,resnet32.pt,0.5877329192546584,16
5,2,resnet32.pt,0.5753105590062112,16
4,2,resnet32.pt,0.5815217391304348,16
6,2,resnet32.pt,0.609472049689441,16
2,2,resnet32.pt,0.59472049689441,16
3,2,resnet32.pt,0.5954968944099379,16
8,3,resnet32.pt,0.6040372670807453,16
7,3,resnet32.pt,0.5737577639751553,16
1,3,resnet32.pt,0.6218944099378882,16
5,3,resnet32.pt,0.5908385093167702,16
9,3,resnet32.pt,0.6211180124223602,16
10,3,resnet32.pt,0.5714285714285714,16
6,3,resnet32.pt,0.5690993788819876,16
4,3,resnet32.pt,0.593167701863354,16
2,3,resnet32.pt,0.5745341614906833,16
3,3,resnet32.pt,0.6017080745341615,16
8,4,resnet32.pt,0.5753105590062112,16
9,4,resnet32.pt,0.6118012422360248,16
1,4,resnet32.pt,0.625,16
5,4,resnet32.pt,0.5613354037267081,16
7,4,resnet32.pt,0.5520186335403726,16
10,4,resnet32.pt,0.6211180124223602,16
6,4,resnet32.pt,0.6141304347826086,16
4,4,resnet32.pt,0.593167701863354,16
3,4,resnet32.pt,0.6086956521739131,16
2,4,resnet32.pt,0.5582298136645962,16
1,5,resnet32.pt,0.593944099378882,16
5,5,resnet32.pt,0.562111801242236,16
8,5,resnet32.pt,0.6475155279503105,16
9,5,resnet32.pt,0.6048136645962733,16
7,5,resnet32.pt,0.6327639751552795,16
6,5,resnet32.pt,0.5240683229813664,16
4,5,resnet32.pt,0.6195652173913043,16
10,5,resnet32.pt,0.59472049689441,16
3,5,resnet32.pt,0.5830745341614907,16
2,5,resnet32.pt,0.5652173913043478,16
1,6,resnet32.pt,0.5388198757763976,16
5,6,resnet32.pt,0.593167701863354,16
9,6,resnet32.pt,0.6110248447204969,16
7,6,resnet32.pt,0.6242236024844721,16
8,6,resnet32.pt,0.6133540372670807,16
6,6,resnet32.pt,0.5908385093167702,16
4,6,resnet32.pt,0.5714285714285714,16
10,6,resnet32.pt,0.593944099378882,16
3,6,resnet32.pt,0.6599378881987578,16
2,6,resnet32.pt,0.6055900621118012,16
1,7,resnet32.pt,0.5636645962732919,16
