model_name,iteration,accuracy
ensembled,5,0.8823
ensembled,18,0.8823
ensembled,13,0.8823
ensembled,10,0.8823
ensembled,3,0.8823
ensembled,14,0.8823
ensembled,1,0.8823
ensembled,11,0.8823
ensembled,2,0.8823
ensembled,12,0.8823
ensembled,7,0.8823
ensembled,4,0.8823
ensembled,17,0.8823
ensembled,19,0.8823
ensembled,15,0.8823
ensembled,20,0.8823
ensembled,8,0.8823
ensembled,9,0.8823
ensembled,6,0.8823
ensembled,16,0.8823
ensembled,32,0.8823
ensembled,21,0.8823
ensembled,39,0.8823
ensembled,40,0.8823
ensembled,31,0.8823
ensembled,36,0.8823
ensembled,29,0.8823
ensembled,30,0.8823
ensembled,33,0.8823
ensembled,38,0.8823
ensembled,25,0.8823
ensembled,23,0.8823
ensembled,27,0.8823
ensembled,26,0.8823
ensembled,22,0.8823
ensembled,37,0.8823
ensembled,35,0.8823
ensembled,34,0.8823
ensembled,24,0.8823
ensembled,28,0.8823
ensembled,47,0.8823
ensembled,53,0.8823
ensembled,43,0.8823
ensembled,41,0.8823
ensembled,48,0.8823
ensembled,49,0.8823
ensembled,44,0.8823
ensembled,46,0.8823
ensembled,45,0.8823
ensembled,59,0.8823
ensembled,51,0.8823
ensembled,55,0.8823
ensembled,50,0.8823
ensembled,60,0.8823
ensembled,58,0.8823
ensembled,52,0.8823
ensembled,56,0.8823
ensembled,57,0.8823
ensembled,42,0.8823
ensembled,54,0.8823
ensembled,78,0.8823
ensembled,61,0.8823
ensembled,71,0.8823
ensembled,69,0.8823
ensembled,74,0.8823
ensembled,80,0.8823
ensembled,77,0.8823
ensembled,75,0.8823
ensembled,67,0.8823
ensembled,73,0.8823
ensembled,63,0.8823
ensembled,64,0.8823
ensembled,62,0.8823
ensembled,79,0.8823
ensembled,72,0.8823
ensembled,70,0.8823
ensembled,68,0.8823
ensembled,65,0.8823
ensembled,66,0.8823
ensembled,76,0.8823
ensembled,99,0.8823
ensembled,98,0.8823
ensembled,83,0.8823
ensembled,82,0.8823
ensembled,94,0.8823
ensembled,84,0.8823
ensembled,97,0.8823
ensembled,85,0.8823
ensembled,93,0.8823
ensembled,91,0.8823
ensembled,89,0.8823
ensembled,90,0.8823
ensembled,81,0.8823
ensembled,88,0.8823
ensembled,96,0.8823
ensembled,95,0.8823
ensembled,92,0.8823
ensembled,86,0.8823
ensembled,87,0.8823
ensembled,100,0.8823
