model_name,iteration,accuracy
ensembled,17,0.9979
ensembled,2,0.9979
ensembled,16,0.9979
ensembled,11,0.9979
ensembled,8,0.9979
ensembled,1,0.9979
ensembled,13,0.9979
ensembled,20,0.9979
ensembled,18,0.9979
ensembled,3,0.9979
ensembled,10,0.9979
ensembled,7,0.9979
ensembled,19,0.9979
ensembled,12,0.9979
ensembled,9,0.9979
ensembled,6,0.9979
ensembled,15,0.9979
ensembled,5,0.9979
ensembled,4,0.9979
ensembled,14,0.9979
ensembled,40,0.9979
ensembled,34,0.9979
ensembled,29,0.9979
ensembled,31,0.9979
ensembled,21,0.9979
ensembled,38,0.9979
ensembled,24,0.9979
ensembled,25,0.9979
ensembled,36,0.9979
ensembled,37,0.9979
ensembled,22,0.9979
ensembled,28,0.9979
ensembled,33,0.9979
ensembled,23,0.9979
ensembled,30,0.9979
ensembled,35,0.9979
ensembled,32,0.9979
ensembled,26,0.9979
ensembled,39,0.9979
ensembled,27,0.9979
ensembled,42,0.9979
ensembled,43,0.9979
ensembled,60,0.9979
ensembled,47,0.9979
ensembled,50,0.9979
ensembled,53,0.9979
ensembled,55,0.9979
ensembled,46,0.9979
ensembled,58,0.9979
ensembled,45,0.9979
ensembled,57,0.9979
ensembled,48,0.9979
ensembled,44,0.9979
ensembled,41,0.9979
ensembled,59,0.9979
ensembled,52,0.9979
ensembled,51,0.9979
ensembled,49,0.9979
ensembled,54,0.9979
ensembled,56,0.9979
ensembled,63,0.9979
ensembled,72,0.9979
ensembled,68,0.9979
ensembled,66,0.9979
ensembled,70,0.9979
ensembled,73,0.9979
ensembled,80,0.9979
ensembled,62,0.9979
ensembled,74,0.9979
ensembled,64,0.9979
ensembled,67,0.9979
ensembled,79,0.9979
ensembled,69,0.9979
ensembled,76,0.9979
ensembled,65,0.9979
ensembled,75,0.9979
ensembled,78,0.9979
ensembled,71,0.9979
ensembled,77,0.9979
ensembled,61,0.9979
ensembled,86,0.9979
ensembled,97,0.9979
ensembled,96,0.9979
ensembled,90,0.9979
ensembled,100,0.9979
ensembled,94,0.9979
ensembled,85,0.9979
ensembled,89,0.9979
ensembled,87,0.9979
ensembled,95,0.9979
ensembled,99,0.9979
ensembled,88,0.9979
ensembled,84,0.9979
ensembled,92,0.9979
ensembled,93,0.9979
ensembled,82,0.9979
ensembled,91,0.9979
ensembled,83,0.9979
ensembled,98,0.9979
ensembled,81,0.9979
